sample_num,loss_fn,random_start,steps,clean,6.0,8.0,10.0
10000,xent,1,10,82.39,64.78,57.38,49.74

10000,xent,3,10,82.39,67.82,58.35,48.69

10000,xent,3,100,82.39,67.58,57.61,46.86
