sample_num,loss_fn,random_start,steps,clean,0.02,0.03,0.04
10000,xent,1,10,86.21,70.50,60.86,50.37

10000,xent,1,100,86.21,69.91,58.64,46.14

10000,xent,1,100,86.21,69.88,58.62,46.12
